,PhraseId,SentenceId,Phrase,Sentiment
101,102,3,would have a hard time sitting through this one,0
103,104,3,have a hard time sitting through this one,0
157,158,5,Aggressive self-glorification and a manipulative whitewash,0
159,160,5,self-glorification and a manipulative whitewash,0
201,202,7,Trouble Every Day is a plodding mess .,0
208,209,7,is a plodding mess,0
210,211,7,plodding mess,0
261,262,10,could hate it for the same reason,0
264,265,10,hate it,0
265,266,10,hate,0
311,312,12,"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that",0
430,431,16,baseball movies that try too hard to be mythic,0
848,849,32,"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .",0
861,862,32,a self-indulgent script,0
919,920,34,"There 's very little sense to what 's going on here ,",0
1001,1002,36,avoid,0
1003,1004,37,almost feels as if the movie is more interested in entertaining itself than in amusing us .,0
1023,1024,38,The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . ',0
1024,1025,38,The movie 's progression into rambling incoherence,0
1032,1033,38,gives new meaning to the phrase ` fatal script error . ',0
1044,1045,38,` fatal script error,0
1046,1047,38,fatal script error,0
1099,1100,41,"Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .",0
1131,1132,41,of narrative banality,0
1158,1159,42,bad,0
1282,1283,48,"'m sure the filmmaker would disagree , but , honestly , I do n't see the point",0
1295,1296,48,"honestly , I do n't see the point",0
1372,1373,51,clunky TV-movie approach,0
1445,1446,53,"Thanks largely to Williams , all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film .",0
1468,1469,53,the rest is just an overexposed waste of film,0
1471,1472,53,is just an overexposed waste of film,0
1473,1474,53,an overexposed waste of film,0
1474,1475,53,an overexposed waste,0
1479,1480,54,"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible .",0
1484,1485,54,"as a relic from a bygone era , and its convolutions ... feel silly rather than plausible",0
1530,1531,57,Run for your lives !,0
1531,1532,57,Run for your lives,0
1653,1654,61,makes your teeth hurt,0
1687,1688,63,Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and the action scenes are poorly delivered,0
1688,1689,63,Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and,0
1754,1755,66,Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,0
1758,1759,66,is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,0
1759,1760,66,is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating,0
1760,1761,66,is the script 's endless assault of embarrassingly ham-fisted sex jokes,0
1765,1766,66,endless assault,0
1769,1770,66,embarrassingly ham-fisted sex jokes,0
1812,1813,67,impossible,0
2043,2044,78,goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .,0
2256,2257,86,"directed , barely ,",0
2370,2371,91,'s lazy for a movie to avoid solving one problem by trying to distract us with the solution to another,0
2372,2373,91,lazy for a movie,0
2421,2422,93,"of its music or comic antics , but through the perverse pleasure of watching Disney scrape the bottom of its own cracker barrel",0
2439,2440,93,Disney scrape the bottom of its own cracker barrel,0
2472,2473,95,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,0
2473,2474,95,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres,0
2474,2475,95,Scarcely worth a mention,0
2475,2476,95,Scarcely worth,0
2479,2480,95,apart from reporting on the number of tumbleweeds blowing through the empty theatres,0
2483,2484,95,on the number of tumbleweeds blowing through the empty theatres,0
2487,2488,95,of tumbleweeds blowing through the empty theatres,0
2488,2489,95,tumbleweeds blowing through the empty theatres,0
2519,2520,97,"`` Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0
2520,2521,97,"Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0
2523,2524,97,"'' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0
2524,2525,97,"is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0
2527,2528,97,"of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original",0
2528,2529,97,"those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original",0
2529,2530,97,"those crass , contrived sequels",0
2530,2531,97,"crass , contrived sequels",0
2535,2536,97,"that not only fails on its own , but makes you second-guess your affection for the original",0
2538,2539,97,"fails on its own , but makes you second-guess your affection for the original",0
2542,2543,97,fails,0
2585,2586,99,'s not a particularly good film,0
2616,2617,101,"is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike .",0
2617,2618,101,"is -RRB- the comedy equivalent of Saddam Hussein , and I 'm just about ready to go to the U.N. and ask permission for a preemptive strike",0
2805,2806,108,is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys .,0
2806,2807,108,is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys,0
2865,2866,110,A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being,0
2895,2896,111,"Takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny",0
2901,2902,111,do n't like,0
2902,2903,111,"another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny",0
2921,2922,111,is impossible to care about and is n't very funny,0
2948,2949,112,then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .,0
2971,2972,113,The whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product .,0
2977,2978,113,this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
2981,2982,113,to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
2983,2984,113,-- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
2984,2985,113,as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
2986,2987,113,the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
2988,2989,113,is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
2989,2990,113,trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
2990,2991,113,to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
2991,2992,113,dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
3005,3006,113,simply because the movie is ugly to look at and not a Hollywood product,0
3008,3009,113,the movie is ugly to look at and not a Hollywood product,0
3010,3011,113,ugly to look at and not a Hollywood product,0
3030,3031,114,bogged down in earnest dramaturgy,0
3172,3173,119,cheap,0
3266,3267,123,"Violent , vulgar and forgettably",0
3270,3271,123,vulgar,0
3475,3476,129,at the expense of those who paid for it and those who pay to see it,0
3591,3592,134,It 's hard to say who might enjoy this,0
3593,3594,134,hard to say who might enjoy this,0
3686,3687,139,"The movie is silly beyond comprehension , and even if it were n't silly , it would still be beyond comprehension .",0
3688,3689,139,"The movie is silly beyond comprehension , and",0
3712,3713,141,"Poor editing , bad bluescreen , and ultra-cheesy dialogue highlight the radical action .",0
3713,3714,141,"Poor editing , bad bluescreen , and ultra-cheesy dialogue",0
3714,3715,141,"Poor editing , bad bluescreen , and",0
3716,3717,141,"Poor editing , bad bluescreen",0
3721,3722,141,bad bluescreen,0
3771,3772,143,completely misses its emotions,0
3978,3979,150,"failing , ultimately ,",0
3979,3980,150,"failing , ultimately",0
4003,4004,152,"There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces .",0
4004,4005,152,"There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up ; when the explosions start , they fall to pieces",0
4006,4007,152,There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up,0
4118,4119,155,stale and uninspired .,0
4120,4121,155,and uninspired .,0
4121,4122,155,uninspired .,0
4198,4199,159,", it wears out its welcome as tryingly as the title character .",0
4237,4238,161,could force you to scratch a hole in your head .,0
4238,4239,161,could force you to scratch a hole in your head,0
4241,4242,161,you to scratch a hole in your head,0
4333,4334,164,convoluted,0
4420,4421,166,violence,0
4425,4426,167,"Has no reason to exist , other than to employ Hollywood kids and people who owe favors to their famous parents .",0
4514,4515,171,Nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .,0
4524,4525,171,unfocused,0
4548,4549,172,dull,0
4627,4628,176,"Starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion .",0
4632,4633,176,"spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion .",0
4643,4644,176,of the pool with an utterly incompetent conclusion,0
4644,4645,176,the pool with an utterly incompetent conclusion,0
4646,4647,176,with an utterly incompetent conclusion,0
4647,4648,176,an utterly incompetent conclusion,0
4648,4649,176,utterly incompetent conclusion,0
4649,4650,176,utterly incompetent,0
4665,4666,178,Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,0
4669,4670,178,filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,0
4670,4671,178,filmmaking that is plainly dull and visually ugly when it is n't incomprehensible,0
4672,4673,178,is plainly dull and visually ugly when it is n't incomprehensible,0
4674,4675,178,plainly dull and visually ugly,0
4719,4720,180,An awkwardly contrived exercise in magic realism,0
4860,4861,187,'s a great deal of corny dialogue and preposterous moments,0
4865,4866,187,of corny dialogue and preposterous moments,0
4866,4867,187,corny dialogue and preposterous moments,0
4870,4871,187,preposterous,0
4884,4885,190,The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .,0
4896,4897,190,is capped with pointless extremes,0
4897,4898,190,capped with pointless extremes,0
4899,4900,190,with pointless extremes,0
4901,4902,190,pointless,0
4931,4932,191,be disappointed,0
4934,4935,192,never plays as dramatic even when dramatic things happen to people .,0
4970,4971,194,generates plot points with a degree of randomness usually achieved only by lottery drawing .,0
5023,5024,196,can depress you about life itself,0
5025,5026,196,depress you,0
5084,5085,198,smug self-satisfaction,0
5116,5117,200,pomposity and pretentiousness,0
5293,5294,210,"It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound .",0
5298,5299,210,"depressing , ruthlessly pained and depraved",0
5302,5303,210,depressing,0
5306,5307,210,depraved,0
5307,5308,210,the movie equivalent of staring into an open wound,0
5373,5374,215,instead opts for a routine slasher film that was probably more fun to make than it is to sit through .,0
5379,5380,215,a routine slasher film that was probably more fun to make than it is to sit through,0
5398,5399,216,"Would 've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement .",0
5430,5431,217,"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but",0
5431,5432,217,"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place ,",0
5432,5433,217,A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place,0
5436,5437,217,A superfluous sequel,0
5437,5438,217,superfluous sequel,0
5442,5443,217,by that old familiar feeling of ` let 's get this thing over with ',0
5449,5450,217,of ` let 's get this thing over with,0
5519,5520,219,a familiar anti-feminist equation -LRB- career - kids = misery -RRB- in tiresome romantic-comedy duds,0
5538,5539,219,romantic-comedy duds,0
5596,5597,223,Plays like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .,0
5597,5598,223,like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .,0
5599,5600,223,a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story,0
5604,5605,223,an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story,0
5606,5607,223,an overripe episode of TV 's Dawson 's Creek,0
5618,5619,223,a recycled and dumbed-down version of Love Story,0
5619,5620,223,a recycled and dumbed-down version,0
5628,5629,224,"covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people .",0
5631,5632,224,"huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people",0
5638,5639,224,"a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people",0
5664,5665,225,The film is so bad it does n't improve upon the experience of staring at a blank screen .,0
5665,5666,225,is so bad it does n't improve upon the experience of staring at a blank screen .,0
5666,5667,225,is so bad it does n't improve upon the experience of staring at a blank screen,0
5669,5670,225,it does n't improve upon the experience of staring at a blank screen,0
5674,5675,225,the experience of staring at a blank screen,0
5716,5717,227,"It 's difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 .",0
5718,5719,227,"'s difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002",0
5719,5720,227,"difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002",0
5721,5722,227,"to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002",0
5725,5726,227,"a more confused , less interesting and more sloppily made film could possibly come down the road in 2002",0
5726,5727,227,"a more confused , less interesting and more sloppily",0
5728,5729,227,"more confused , less interesting and more",0
5828,5829,233,its lackadaisical plotting and mindless action,0
5829,5830,233,lackadaisical plotting and mindless action,0
0,1,1,"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",1
33,34,1,"the gander , some of which occasionally amuses but none of which amounts to much of a story",1
47,48,1,but none of which amounts to much of a story,1
49,50,1,none of which amounts to much of a story,1
81,82,3,"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .",1
94,95,3,", I suspect , would have a hard time sitting through this one .",1
100,101,3,would have a hard time sitting through this one .,1
105,106,3,a hard time sitting through this one,1
106,107,3,a hard time,1
107,108,3,hard time,1
110,111,3,sitting through this one,1
131,132,4,"the intrigue , betrayal , deceit and murder",1
135,136,4,"betrayal , deceit and murder",1
137,138,4,", deceit and murder",1
138,139,4,deceit and murder,1
140,141,4,deceit,1
141,142,4,murder,1
145,146,4,a Shakespearean tragedy,1
148,149,4,tragedy,1
153,154,4,soap opera,1
156,157,5,Aggressive self-glorification and a manipulative whitewash .,1
160,161,5,self-glorification and,1
162,163,5,a manipulative whitewash,1
163,164,5,manipulative whitewash,1
195,196,6,midlife crisis,1
198,199,7,"Narratively , Trouble Every Day is a plodding mess .",1
200,201,7,", Trouble Every Day is a plodding mess .",1
203,204,7,Trouble,1
207,208,7,is a plodding mess .,1
209,210,7,a plodding mess,1
211,212,7,plodding,1
212,213,7,mess,1
247,248,9,But it does n't leave you with much .,1
248,249,9,it does n't leave you with much .,1
249,250,9,does n't leave you with much .,1
250,251,9,does n't leave you with much,1
251,252,9,does n't,1
256,257,9,leave,1
259,260,10,You could hate it for the same reason .,1
260,261,10,could hate it for the same reason .,1
263,264,10,hate it for the same reason,1
271,272,11,"There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",1
273,274,11,"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity .",1
274,275,11,"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity",1
275,276,11,"'s little to recommend Snow Dogs ,",1
276,277,11,'s little to recommend Snow Dogs,1
285,286,11,unless one considers cliched dialogue and perverse escapism a source of high hilarity,1
290,291,11,cliched dialogue and perverse escapism a source of high hilarity,1
291,292,11,cliched dialogue and perverse escapism,1
292,293,11,cliched dialogue and,1
293,294,11,cliched dialogue,1
294,295,11,cliched,1
297,298,11,perverse,1
306,307,12,"Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that .",1
335,336,12,proves that sometimes the dreams of youth should remain just that,1
337,338,12,that sometimes the dreams of youth should remain just that,1
338,339,12,sometimes the dreams of youth should remain just that,1
377,378,14,the ways in which extravagant chance can distort our perspective and throw us off the path of good sense,1
399,400,14,off the path of good sense,1
400,401,14,off,1
422,423,15,damned,1
429,430,16,from baseball movies that try too hard to be mythic,1
434,435,16,that try too hard to be mythic,1
435,436,16,try too hard to be mythic,1
437,438,16,too hard to be mythic,1
439,440,16,hard to be mythic,1
516,517,19,As inept as big-screen remakes of The Avengers and The Wild Wild West .,1
518,519,19,As inept,1
520,521,19,inept,1
521,522,19,as big-screen remakes of The Avengers and The Wild Wild West,1
537,538,20,'s everything you 'd expect -- but nothing more .,1
539,540,20,everything you 'd expect -- but nothing more,1
541,542,20,you 'd expect -- but nothing more,1
549,550,20,nothing,1
576,577,22,oddest,1
619,620,23,It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,1
620,621,23,'s like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,1
621,622,23,'s like going to a house party and watching the host defend himself against a frothing ex-girlfriend,1
622,623,23,like going to a house party and watching the host defend himself against a frothing ex-girlfriend,1
623,624,23,going to a house party and watching the host defend himself against a frothing ex-girlfriend,1
645,646,23,frothing,1
657,658,24,grenade,1
659,660,24,gag,1
693,694,25,romantic comedy boilerplate,1
707,708,26,"an impeccable pedigree , mongrel pep , and almost indecipherable plot complications",1
718,719,26,mongrel,1
721,722,26,indecipherable plot complications,1
724,725,26,complications,1
733,734,27,preach exclusively to the converted .,1
741,742,28,"While The Importance of Being Earnest offers opportunities for occasional smiles and chuckles , it does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances .",1
758,759,28,chuckles,1
762,763,28,does n't give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances,1
763,764,28,give us a reason to be in the theater beyond Wilde 's wit and the actors ' performances,1
786,787,29,The latest vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen .,1
790,791,29,vapid actor 's exercise to appropriate the structure of Arthur Schnitzler 's Reigen,1
791,792,29,vapid actor 's exercise,1
792,793,29,vapid,1
813,814,30,"More vaudeville show than well-constructed narrative ,",1
814,815,30,More vaudeville show than well-constructed narrative,1
835,836,30,inoffensive,1
844,845,31,run-of-the-mill action,1
845,846,31,run-of-the-mill,1
849,850,32,"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire",1
850,851,32,"Hampered -- no , paralyzed -- by a self-indulgent script ...",1
851,852,32,"Hampered -- no , paralyzed -- by a self-indulgent script",1
856,857,32,"no , paralyzed",1
857,858,32,no,1
858,859,32,", paralyzed",1
860,861,32,by a self-indulgent script,1
863,864,32,self-indulgent,1
866,867,32,that aims for poetry and ends up sounding like satire,1
867,868,32,aims for poetry and ends up sounding like satire,1
873,874,32,ends up sounding like satire,1
906,907,33,makes for some glacial pacing early on,1
907,908,33,makes for some glacial pacing,1
917,918,34,"There 's very little sense to what 's going on here , but the makers serve up the cliches with considerable dash",1
918,919,34,"There 's very little sense to what 's going on here , but",1
920,921,34,There 's very little sense to what 's going on here,1
921,922,34,'s very little sense to what 's going on here,1
922,923,34,very little sense to what 's going on here,1
923,924,34,very little sense,1
926,927,34,what 's going on here,1
937,938,34,the cliches with considerable dash,1
938,939,34,the cliches,1
957,958,35,"of his first film , The Full Monty ,",1
970,971,36,"They 're the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .",1
972,973,36,"'re the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid .",1
975,976,36,"the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid",1
976,977,36,"the unnamed , easily substitutable forces",1
978,979,36,"unnamed , easily substitutable",1
980,981,36,", easily substitutable",1
983,984,36,substitutable,1
988,989,36,whatever terror the heroes of horror movies try to avoid,1
989,990,36,whatever,1
990,991,36,terror the heroes of horror movies try to avoid,1
991,992,36,terror,1
992,993,36,the heroes of horror movies try to avoid,1
998,999,36,horror,1
999,1000,36,try to avoid,1
1000,1001,36,to avoid,1
1002,1003,37,It almost feels as if the movie is more interested in entertaining itself than in amusing us .,1
1004,1005,37,feels as if the movie is more interested in entertaining itself than in amusing us .,1
1005,1006,37,feels as if the movie is more interested in entertaining itself than in amusing us,1
1007,1008,37,as if the movie is more interested in entertaining itself than in amusing us,1
1008,1009,37,if the movie is more interested in entertaining itself than in amusing us,1
1010,1011,37,the movie is more interested in entertaining itself than in amusing us,1
1011,1012,37,is more interested in entertaining itself than in amusing us,1
1012,1013,37,more interested in entertaining itself than in amusing us,1
1013,1014,37,more interested in entertaining itself,1
1027,1028,38,into rambling incoherence,1
1029,1030,38,rambling incoherence,1
1030,1031,38,rambling,1
1031,1032,38,incoherence,1
1034,1035,38,gives new meaning to the phrase ` fatal script error,1
1040,1041,38,to the phrase ` fatal script error,1
1041,1042,38,the phrase ` fatal script error,1
1042,1043,38,phrase ` fatal script error,1
1048,1049,38,script error,1
1049,1050,38,error,1
1054,1055,39,Do n't,1
1095,1096,40,out,1
1100,1101,41,"Tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality",1
1123,1124,41,slip into the modern rut of narrative banality,1
1125,1126,41,into the modern rut of narrative banality,1
1126,1127,41,the modern rut of narrative banality,1
1127,1128,41,the modern rut,1
1130,1131,41,rut,1
1132,1133,41,narrative banality,1
1133,1134,41,banality,1
1173,1174,43,is to frighten and disturb,1
1176,1177,43,frighten and,1
1178,1179,43,disturb,1
1198,1199,44,This 100-minute movie only has about 25 minutes of decent material .,1
1202,1203,44,only has about 25 minutes of decent material .,1
1205,1206,44,has about 25 minutes of decent material,1
1206,1207,44,about 25 minutes of decent material,1
1233,1234,46,hell-jaunt purists,1
1234,1235,46,hell-jaunt,1
1247,1248,46,-LRB-,1
1254,1255,46,horrifying,1
1272,1273,47,airless cinematic shell games .,1
1280,1281,48,"I 'm sure the filmmaker would disagree , but , honestly , I do n't see the point .",1
1281,1282,48,"'m sure the filmmaker would disagree , but , honestly , I do n't see the point .",1
1284,1285,48,"sure the filmmaker would disagree , but , honestly , I do n't see the point",1
1286,1287,48,"the filmmaker would disagree , but , honestly , I do n't see the point",1
1290,1291,48,the filmmaker would disagree,1
1297,1298,48,", I do n't see the point",1
1298,1299,48,I do n't see the point,1
1299,1300,48,do n't see the point,1
1334,1335,50,Bloody,1
1351,1352,50,to place blame,1
1363,1364,50,war movies,1
1364,1365,50,war,1
1368,1369,51,"Takes a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker .",1
1369,1370,51,"Takes a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker",1
1370,1371,51,"a clunky TV-movie approach to detailing a chapter in the life of the celebrated Irish playwright , poet and drinker",1
1373,1374,51,clunky TV-movie,1
1374,1375,51,clunky,1
1402,1403,52,"coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie .",1
1403,1404,52,"coming down off of Miramax 's deep shelves after a couple of aborted attempts , Waking Up in Reno makes a strong case for letting sleeping dogs lie",1
1,2,1,A series of escapades demonstrating the adage that what is good for the goose,2
2,3,1,A series,2
3,4,1,A,2
4,5,1,series,2
5,6,1,of escapades demonstrating the adage that what is good for the goose,2
6,7,1,of,2
7,8,1,escapades demonstrating the adage that what is good for the goose,2
8,9,1,escapades,2
9,10,1,demonstrating the adage that what is good for the goose,2
10,11,1,demonstrating the adage,2
11,12,1,demonstrating,2
12,13,1,the adage,2
13,14,1,the,2
14,15,1,adage,2
15,16,1,that what is good for the goose,2
16,17,1,that,2
17,18,1,what is good for the goose,2
18,19,1,what,2
19,20,1,is good for the goose,2
20,21,1,is,2
23,24,1,for the goose,2
24,25,1,for,2
25,26,1,the goose,2
26,27,1,goose,2
